Y,X,Sampling year,Reference,Study,Time,PO4 mg/l,PO4_sd,NO2 mg/l,NO2_sd,COD mg/l,COD_sd,BOD mg/l,BOD_sd,DO mg/l,DO_sd,pH,pH_sd,TDS mg/l,TDS_sd,Temp,Temp_sd,TKN,TKN_sd,NO3-N,NO3_sd,EC,EC_sd,NO3 mg/l,Na mg/l,K mg/l,Ca mg/l,Mg mg/l,HCO3 mg/l,Cl mg/l,SO4 mg/l,SiO2 mg/l,Cr µg/l,Cr_sd,Mn  µg/l,Mn_sd,Ni  µg/l,Ni_sd,Zn µg/l,Zn_sd,As µg/l,Pb  µg/l,Pb_sd,Cd  µg/l,Cd_sd,Co  µg/l,Co_sd,Cu  µg/l,Cu_sd,NH3 mg/l,Cd mg/kg,Cd_sd mg/kg,Cr mg/kg,Cr_sd mg/kg,Cu mg/kg,Cu_sd mg/kg,Fe mg/kg,Fe_sd mg/kg,Pb mg/kg,Pb_mg/kg,Mn mg/kg,Mn_sd mg/kg,Ni mg/kg,Ni_sd mg/kg,Zn mg/kg,Zn_sd mg/kg
38.7098898,9.0186921,2002,Me_13,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,-0.17,955,-16,4.42,-0.1,2.11,-0.28,,0.09,-0.01,0.02,-0.001,1.63,-0.03,2.5,-0.32,,,,,,,,,,,,,,,,,
38.7115467,9.0063507,2002,Me_14,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,-0.06,1224,-12,3.49,-0.05,3.24,-0.08,,0.258,-0.018,0.008,-0.001,1.41,-0.01,2.67,-0.07,,,,,,,,,,,,,,,,,
38.7099676,8.9874189,2002,Me_15,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,-0.08,1236,-11,4.71,-0.3,16.69,-3.06,,1.73,-0.18,0.002,-0.001,1.32,-0.04,8.73,-0.31,,,,,,,,,,,,,,,,,
38.7337033,8.9711014,2002,Me_17,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,-0.06,1101,-42,7.89,-0.13,13.4,-0.97,,2.66,-0.08,0.011,-0.001,4.6,-0.04,7.65,-0.21,,,,,,,,,,,,,,,,,
38.7447411,8.9606987,2002,Me_18,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,-0.07,1727,-17,5.87,-0.1,2.57,-0.08,,0.144,-0.018,0.007,-0.001,2.85,-0.04,1.11,-0.11,,,,,,,,,,,,,,,,,
38.7491528,8.957655,2002,Me_19,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,-0.11,1586,-9,4.36,-0.13,2.34,-0.17,,0.15,-0.01,0.037,-0.004,2.32,-0.03,1.09,-0.04,,,,,,,,,,,,,,,,,
38.7595297,8.9496174,2002,Me_20,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,-0.07,1220,-5,19.48,-0.18,593.82,-1.81,,4.92,-0.39,1.17,-0.065,3.63,-0.06,27.76,-0.14,,,,,,,,,,,,,,,,,
38.759607,8.9475571,2002,Me_21,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,-0.04,1737,-18,8.81,-0.22,8.56,-0.31,,3.28,-0.19,0.021,-0.001,3.71,-0.05,2.63,-0.15,,,,,,,,,,,,,,,,,
38.7570382,8.9301588,2002,Me_22,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.26,-0.07,1911,-40,7.54,-0.1,2.74,-0.44,,0.235,-0.024,0.017,-0.004,3.38,-0.02,1.69,-0.07,,,,,,,,,,,,,,,,,
38.727879,8.8509915,2002,Me_23,Melaku2004,November 2002 to January 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,-0.08,1250,-38,9.07,-0.11,6.11,-0.23,,0.159,-0.014,0.018,-0.003,4.05,-0.03,3.26,-0.04,,,,,,,,,,,,,,,,,
